Product ID,Customer ID,Sales Person ID,Quantity Sold,Payment Method,Quantity Returned,Order Date
17,482,3,14,Credit Card,1,4/13/2023
41,181,7,39,Cash,5,7/20/2023
89,61,6,9,Cash,0,6/6/2023
66,55,7,36,Debit Card,5,2/21/2023
86,436,6,53,Online Payment,4,8/25/2023
39,558,2,32,Credit Card,1,7/13/2023
93,205,2,39,Debit Card,5,4/15/2023
17,454,8,26,Online Payment,1,12/6/2023
70,599,4,68,Credit Card,5,3/8/2023
69,106,5,22,Debit Card,5,9/27/2023
69,180,5,44,Credit Card,2,1/7/2023
79,402,5,26,Cash,4,3/22/2023
51,344,3,41,Credit Card,4,5/12/2023
25,389,10,50,Credit Card,3,4/12/2023
11,358,7,27,Debit Card,2,10/3/2023
86,496,2,65,Debit Card,2,10/2/2023
51,79,10,25,Online Payment,4,12/1/2023
89,513,2,53,Online Payment,2,11/13/2023
36,290,9,21,Online Payment,3,2/12/2023
53,150,1,22,Cash,1,9/13/2023
41,328,8,46,Debit Card,1,1/13/2023
99,170,8,23,Debit Card,1,6/19/2023
27,30,4,18,Online Payment,1,5/1/2023
18,316,9,31,Online Payment,4,5/6/2023
53,489,5,30,Credit Card,1,8/30/2023
10,45,1,55,Cash,1,10/7/2023
80,14,1,7,Online Payment,0,12/24/2023
60,37,4,19,Online Payment,2,3/16/2023
51,533,3,53,Cash,5,5/9/2023
56,429,1,25,Cash,2,6/9/2023
32,555,8,4,Debit Card,0,10/30/2023
77,225,3,63,Debit Card,5,12/28/2023
26,47,10,52,Debit Card,2,2/19/2023
81,81,5,17,Credit Card,5,9/6/2023
100,83,10,53,Credit Card,4,2/18/2023
4,154,8,57,Cash,1,4/8/2023
48,456,5,24,Debit Card,1,5/19/2023
53,257,7,43,Debit Card,2,10/23/2023
86,320,6,45,Debit Card,2,10/8/2023
34,368,1,27,Cash,5,12/21/2023
49,256,6,68,Cash,4,7/3/2023
5,396,7,67,Credit Card,5,6/21/2023
15,124,1,35,Debit Card,4,3/9/2023
16,477,4,23,Credit Card,1,9/24/2023
20,124,2,24,Credit Card,4,11/22/2023
73,52,7,35,Credit Card,1,5/18/2023
39,561,9,18,Cash,1,6/16/2023
90,454,4,43,Online Payment,2,11/26/2023
18,39,9,34,Debit Card,5,6/19/2023
28,147,1,14,Cash,1,6/9/2023
62,216,6,54,Debit Card,3,5/22/2023
32,395,4,36,Credit Card,4,8/15/2023
86,159,2,23,Credit Card,1,2/10/2023
7,217,5,54,Debit Card,2,2/4/2023
35,596,9,11,Online Payment,4,8/5/2023
19,303,6,59,Cash,1,11/7/2023
86,328,7,20,Debit Card,2,6/25/2023
77,229,4,57,Cash,2,2/20/2023
15,19,2,61,Online Payment,4,2/7/2023
20,522,6,48,Online Payment,3,1/7/2023
98,422,4,39,Cash,5,11/9/2023
100,139,7,13,Online Payment,4,7/23/2023
19,201,8,19,Debit Card,1,11/30/2023
82,37,1,65,Credit Card,2,9/30/2023
83,227,10,7,Online Payment,0,5/31/2023
36,160,8,29,Debit Card,2,9/12/2023
34,434,1,42,Cash,5,7/6/2023
32,128,6,55,Debit Card,2,4/3/2023
17,365,3,6,Online Payment,0,6/2/2023
25,298,1,17,Credit Card,4,9/5/2023
62,573,7,9,Online Payment,0,10/7/2023
7,151,4,69,Credit Card,2,2/7/2023
34,197,1,14,Debit Card,2,6/13/2023
18,236,4,36,Cash,2,1/23/2023
37,296,8,11,Credit Card,4,9/20/2023
77,268,10,43,Debit Card,3,11/23/2023
39,87,6,4,Online Payment,0,4/26/2023
48,459,8,17,Debit Card,4,8/22/2023
69,1,7,38,Debit Card,3,3/8/2023
73,69,6,53,Cash,2,4/28/2023
98,356,5,11,Online Payment,5,4/19/2023
63,587,5,39,Cash,2,7/24/2023
57,295,5,56,Credit Card,3,2/18/2023
2,79,9,59,Debit Card,4,8/5/2023
51,568,9,39,Debit Card,1,9/17/2023
59,317,4,55,Credit Card,4,9/21/2023
48,458,8,60,Credit Card,3,5/12/2023
87,571,9,59,Online Payment,3,1/1/2023
92,486,8,42,Cash,4,2/26/2023
76,475,7,41,Online Payment,2,1/1/2023
98,354,8,26,Online Payment,2,2/6/2023
79,562,2,24,Cash,4,5/12/2023
94,97,3,43,Online Payment,4,10/20/2023
60,503,4,33,Debit Card,1,5/12/2023
97,393,9,46,Debit Card,5,6/25/2023
59,573,9,6,Cash,0,11/25/2023
46,469,8,60,Credit Card,2,3/19/2023
15,446,10,26,Cash,4,4/5/2023
66,472,10,36,Credit Card,4,5/26/2023
38,201,6,50,Online Payment,2,12/9/2023
62,164,1,61,Debit Card,1,9/17/2023
17,192,10,18,Credit Card,2,8/10/2023
2,365,7,52,Debit Card,1,6/29/2023
91,267,6,37,Online Payment,4,4/12/2023
42,293,9,12,Cash,3,7/31/2023
20,183,2,54,Debit Card,2,3/8/2023
73,520,2,40,Cash,2,6/24/2023
81,571,6,11,Credit Card,2,6/5/2023
83,321,6,7,Online Payment,0,1/6/2023
31,54,5,59,Online Payment,3,2/10/2023
7,100,5,68,Cash,1,1/2/2023
15,85,6,26,Cash,5,2/11/2023
58,87,3,24,Online Payment,1,5/9/2023
62,64,6,17,Online Payment,2,10/9/2023
62,435,3,66,Credit Card,3,3/22/2023
2,211,8,49,Debit Card,5,5/2/2023
8,324,1,41,Online Payment,3,7/31/2023
48,597,2,59,Credit Card,1,2/14/2023
7,208,3,17,Cash,2,7/14/2023
14,17,2,69,Credit Card,2,10/30/2023
94,280,4,61,Cash,4,4/27/2023
39,574,4,12,Debit Card,4,12/12/2023
66,522,7,37,Credit Card,4,2/5/2023
27,290,4,55,Debit Card,2,2/9/2023
72,330,3,7,Cash,0,7/31/2023
2,258,4,63,Cash,1,8/28/2023
13,1,1,9,Debit Card,0,4/23/2023
11,24,8,11,Cash,2,10/15/2023
52,592,2,39,Cash,5,1/24/2023
95,400,4,59,Debit Card,1,4/6/2023
61,194,8,39,Debit Card,4,12/24/2023
3,37,4,47,Credit Card,4,11/21/2023
93,406,5,14,Online Payment,4,2/13/2023
36,62,10,39,Online Payment,5,9/23/2023
100,48,10,39,Cash,4,3/5/2023
92,25,6,56,Debit Card,1,6/22/2023
19,539,1,36,Online Payment,5,3/6/2023
57,247,5,26,Online Payment,3,3/6/2023
43,7,8,61,Cash,5,6/30/2023
78,434,7,23,Credit Card,5,4/11/2023
76,93,8,68,Debit Card,2,12/18/2023
25,378,6,37,Online Payment,5,11/19/2023
93,277,10,31,Debit Card,1,9/27/2023
92,194,6,62,Cash,2,3/7/2023
7,49,9,9,Online Payment,0,6/20/2023
70,95,2,53,Cash,1,10/1/2023
35,209,3,21,Cash,1,11/20/2023
42,236,8,20,Cash,1,8/10/2023
3,266,2,25,Cash,4,1/11/2023
84,35,9,70,Online Payment,1,8/6/2023
29,233,1,67,Online Payment,2,5/27/2023
37,243,6,6,Online Payment,0,1/7/2023
57,574,8,55,Cash,2,2/17/2023
77,233,3,40,Debit Card,1,2/9/2023
68,349,8,20,Debit Card,2,5/1/2023
66,568,6,49,Online Payment,3,2/2/2023
17,269,1,47,Cash,3,9/2/2023
17,234,6,58,Cash,5,10/26/2023
47,498,7,58,Credit Card,1,5/29/2023
74,365,10,24,Cash,4,3/23/2023
73,247,10,43,Credit Card,5,4/10/2023
86,400,1,54,Debit Card,5,10/8/2023
43,57,1,39,Debit Card,1,5/30/2023
58,340,5,23,Debit Card,1,3/31/2023
48,59,3,25,Debit Card,5,6/29/2023
1,377,3,10,Credit Card,0,9/8/2023
89,176,4,25,Credit Card,3,8/19/2023
88,564,9,48,Credit Card,3,7/15/2023
68,52,4,65,Cash,1,8/6/2023
90,499,3,57,Debit Card,4,11/22/2023
5,292,6,56,Debit Card,5,5/23/2023
49,327,8,29,Credit Card,2,3/14/2023
13,215,10,29,Cash,4,6/15/2023
75,428,8,18,Credit Card,5,9/6/2023
87,352,8,47,Online Payment,4,11/10/2023
35,78,2,61,Credit Card,4,1/4/2023
48,590,6,5,Credit Card,0,8/17/2023
5,295,1,28,Debit Card,3,6/13/2023
30,115,3,8,Cash,0,8/22/2023
24,16,5,39,Online Payment,2,4/1/2023
100,574,5,21,Credit Card,3,4/21/2023
64,207,9,66,Debit Card,2,5/15/2023
94,188,1,62,Online Payment,2,7/19/2023
36,336,1,45,Cash,1,5/2/2023
66,476,5,47,Credit Card,5,7/3/2023
